channel_num	detector_system	orientation	layer	side	num	x_center	y_center	z_center								
0	0	0	0	0	0	0	-198.699875	5.08
1	0	0	0	0	1	0	-167.999875	5.08
2	0	0	0	0	2	0	-137.299875	5.08
3	0	0	0	0	3	0	-106.599875	5.08
4	0	0	0	0	4	0	-75.899875	5.08
5	0	0	0	0	5	0	-45.199875	5.08
6	0	0	0	0	6	0	-14.499875	5.08
7	0	0	0	0	7	0	16.200125	5.08
8	0	0	0	0	8	0	46.900125	5.08
9	0	0	0	0	9	0	77.600125	5.08
10	0	0	0	0	10	0	108.300125	5.08
11	0	0	0	0	11	0	139.000125	5.08
12	0	0	0	0	12	0	169.700125	5.08
13	0	0	0	1	0	0	-198.064875	7.28
14	0	0	0	1	1	0	-167.364875	7.28
15	0	0	0	1	2	0	-136.664875	7.28
16	0	0	0	1	3	0	-105.964875	7.28
17	0	0	0	1	4	0	-75.264875	7.28
18	0	0	0	1	5	0	-44.564875	7.28
19	0	0	0	1	6	0	-13.864875	7.28
20	0	0	0	1	7	0	16.835125	7.28
21	0	0	0	1	8	0	47.535125	7.28
22	0	0	0	1	9	0	78.235125	7.28
23	0	0	0	1	10	0	108.935125	7.28
24	0	0	0	1	11	0	139.635125	7.28
25	0	0	0	1	12	0	170.335125	7.28
26	1	0	2	0	0	-73.75	-121.8	336.38
27	1	0	2	0	1	-73.75	-101.5	336.38
28	1	0	2	0	2	-73.75	-81.2	336.38
29	1	0	2	0	3	-73.75	-60.9	336.38
30	1	0	2	0	4	-73.75	-40.6	336.38
31	1	0	2	0	5	-73.75	-20.3	336.38
32	1	0	2	0	6	-73.75	0	336.38
33	1	0	2	0	7	-73.75	20.3	336.38
34	1	0	2	0	8	-73.75	40.6	336.38
35	1	0	2	0	9	-73.75	60.9	336.38
36	1	0	2	0	10	-73.75	81.2	336.38
37	1	0	2	0	11	-73.75	101.5	336.38
38	1	0	2	0	12	-73.75	121.8	336.38
39	1	0	2	1	0	73.75	-121.8	336.38
40	1	0	2	1	1	73.75	-101.5	336.38
41	1	0	2	1	2	73.75	-81.2	336.38
42	1	0	2	1	3	73.75	-60.9	336.38
43	1	0	2	1	4	73.75	-40.6	336.38
44	1	0	2	1	5	73.75	-20.3	336.38
45	1	0	2	1	6	73.75	0	336.38
46	1	0	2	1	7	73.75	20.3	336.38
47	1	0	2	1	8	73.75	40.6	336.38
48	1	0	2	1	9	73.75	60.9	336.38
49	1	0	2	1	10	73.75	81.2	336.38
50	1	0	2	1	11	73.75	101.5	336.38
51	1	0	2	1	12	73.75	121.8	336.38
52	1	1	3	0	0	-107.1	-65.25	348.84
53	1	1	3	0	1	-91.8	-65.25	348.84
54	1	1	3	0	2	-76.5	-65.25	348.84
