detector_num	channel_num	detector_tank_location	x_pos	y_pos	z_pos	x_dir	y_dir	z_dir	PMT_type
332	332	Bottom	-0.6434134	-1.6939623	2.00051707	0	1	0	LUX
333	333	Bottom	-0.2476846	-1.6939623	1.6037927	0	1	0	LUX
334	334	Bottom	-0.7754244	-1.6939623	1.50832364	0	1	0	LUX
335	335	Bottom	-0.445549	-1.6939623	1.80215489	0	1	0	LUX
336	336	Bottom	-0.57756	-1.6852488	1.30996145	0	1	0	LUX
337	337	Bottom	0.19125292	-1.6939623	2.46046266	0	1	0	LUX
338	338	Bottom	0.0766569	-1.6939623	1.92087346	0	1	0	LUX
339	339	Bottom	-0.3190719	-1.6939623	2.31759783	0	1	0	LUX
340	340	Bottom	0.38911731	-1.6906278	2.26210047	0	1	0	LUX
341	341	Bottom	-0.1212075	-1.6939623	2.11923565	0	1	0	LUX
342	342	Bottom	-0.1882051	-1.6956896	0.91420765	0	1	0	LUX
343	343	Bottom	0.14804416	-1.6939623	1.20706832	0	1	0	LUX
344	344	Bottom	-0.0498202	-1.6939623	1.40543051	0	1	0	LUX
345	345	Bottom	0.34590855	-1.6986855	1.00870613	0	1	0	LUX
346	346	Bottom	-0.3860695	-1.6939623	1.11256984	0	1	0	LUX
347	347	Bottom	0.2745213	-1.6939623	1.72251127	0	1	0	LUX
348	348	Bottom	0.59325477	-1.6939623	2.0628688	0	1	0	LUX
349	349	Bottom	0.47238569	-1.6939623	1.52414908	0	1	0	LUX
350	350	Bottom	0.79111917	-1.6849436	1.86450661	0	1	0	LUX
351	351	Bottom	0.67025008	-1.6939623	1.32578689	0	1	0	LUX
352	352	Top	-0.1523917	1.32865366	2.4965238	0	-1	0	ETEL
353	353	Top	-0.8133827	1.33006131	1.83127181	0	-1	0	ETEL
354	354	Top	0.4688042	1.33518815	2.34884727	0	-1	0	ETEL
355	355	Top	-0.4780203	1.33364449	2.36496633	0	-1	0	ETEL
356	356	Top	-0.6793047	1.33439206	2.15757157	0	-1	0	ETEL
357	357	Top	-0.8158105	1.33006131	1.54452182	0	-1	0	ETEL
358	358	Top	-0.685076	1.33006131	1.21748748	0	-1	0	ETEL
359	359	Top	-0.1511486	1.33006131	0.86777977	0	-1	0	ETEL
360	360	Top	-0.4686274	1.33464118	1.0145482	0	-1	0	ETEL
361	361	Top	0.48350228	1.33312054	1.00330305	0	-1	0	ETEL
362	362	Top	0.81463341	1.33006131	1.53766317	0	-1	0	ETEL
363	363	Top	0.15467867	1.33213361	0.86253273	0	-1	0	ETEL
364	364	Top	0.29447174	1.33006131	1.70200516	0	-1	0	ETEL
365	365	Top	0.81360162	1.33006131	1.83008199	0	-1	0	ETEL
366	366	Top	0.67782378	1.33006131	2.1550548	0	-1	0	ETEL
367	367	Top	0.68352384	1.33201528	1.21010643	0	-1	0	ETEL
368	368	Top	-0.0057143	1.33006131	1.3897572	0	-1	0	ETEL
369	369	Top	0.15049268	1.33006131	2.49434187	0	-1	0	ETEL
370	370	Top	-0.0268918	1.33006131	1.98122078	0	-1	0	ETEL
371	371	Top	-0.2969918	1.33006131	1.68082773	0	-1	0	ETEL
372	372	Barrel	0.97078044	0.45904057	2.28731621	-0.92076	-0.0118607	-0.3879045	Hamamatsu
373	373	Barrel	1.11202434	0.45764065	1.40898261	-0.9249582	0.0034223	0.38005319	Hamamatsu
374	374	Barrel	0.97053089	-0.8279537	2.28682611	-0.92076	-0.0118607	-0.3879045	Hamamatsu
375	375	Barrel	1.10596374	0.45904057	1.95591138	-0.92076	-0.0118607	-0.3879045	Hamamatsu
376	376	Barrel	1.10596374	-0.4129386	1.95591138	-0.92076	-0.0118607	-0.3879045	Hamamatsu
377	377	Barrel	0.97103	-0.4050926	2.2878063	-0.92076	-0.0118607	-0.3879045	Hamamatsu
378	378	Barrel	1.11233776	-0.4013947	1.4095894	-0.9249582	0.0034223	0.38005319	Hamamatsu
379	379	Barrel	1.11171092	-0.8245343	1.40837581	-0.9249582	0.0034223	0.38005319	Hamamatsu
380	380	Barrel	0.97756486	0.45764065	1.0823356	-0.9249582	0.0034223	0.38005319	Hamamatsu
381	381	Barrel	0.97756486	-0.4101026	1.0823356	-0.9249582	0.0034223	0.38005319	Hamamatsu
382	382	Barrel	0.93083358	0.01002965	1.13184889	-0.9249582	0.0034223	0.38005319	Watchman
383	383	Barrel	0.26828424	0.45915248	0.56203117	-0.3765238	-0.0130824	0.92629019	Hamamatsu
384	384	Barrel	-0.5979426	0.46225633	0.70517027	0.3862042	-0.0223683	0.92213632	Hamamatsu
385	385	Barrel	-0.2636574	-0.8251755	0.56048558	0.3862042	-0.0223683	0.92213632	Hamamatsu
386	386	Barrel	-0.2655187	0.46000307	0.56180464	0.3862042	-0.0223683	0.92213632	Hamamatsu
387	387	Barrel	0.26828424	-0.4001156	0.56203117	-0.3765238	-0.0130824	0.92629019	Hamamatsu
388	388	Barrel	-0.2673801	-0.3930535	0.56312371	0.3862042	-0.0223683	0.92213632	Hamamatsu
389	389	Barrel	0.59280777	0.45915248	0.69570572	-0.3765238	-0.0130824	0.92629019	Hamamatsu
390	390	Barrel	0.59411218	-0.4101974	0.69643354	-0.3765238	-0.0130824	0.92629019	Hamamatsu
391	391	Barrel	-0.5953991	-0.3946266	0.70079862	0.3862042	-0.0223683	0.92213632	Hamamatsu
392	392	Barrel	0.59150336	-0.8301062	0.6949779	-0.3765238	-0.0130824	0.92629019	Hamamatsu
393	393	Barrel	-0.5441248	0.01304715	0.75196799	0.3862042	-0.0223683	0.92213632	Watchman
394	394	Barrel	-0.9784115	-0.4031411	1.09208968	0.92372753	0.00187934	-0.3830443	Hamamatsu
395	395	Barrel	-1.1152304	-0.8365338	1.93808857	0.92372753	0.00187934	-0.3830443	Hamamatsu
396	396	Barrel	-1.1172646	-0.4138866	1.94262871	0.92372753	0.00187934	-0.3830443	Hamamatsu
397	397	Barrel	-1.1162475	0.45778199	1.94035864	0.92372753	0.00187934	-0.3830443	Hamamatsu
398	398	Barrel	-1.1129397	0.45819177	1.40957932	0.9222563	-0.0025943	0.3865435	Hamamatsu
399	399	Barrel	-0.9759636	-0.8280599	1.0820126	0.92372753	0.00187934	-0.3830443	Hamamatsu
400	400	Barrel	-0.9800986	0.45778199	2.26721705	0.92372753	0.00187934	-0.3830443	Hamamatsu
401	401	Barrel	-1.1129397	-0.4075862	1.40957932	0.92372753	0.00187934	-0.3830443	Hamamatsu
402	402	Barrel	-0.9800986	-0.4093314	2.26721705	0.92372753	0.00187934	-0.3830443	Hamamatsu
403	403	Barrel	-0.9771876	0.45819177	1.08705114	0.92372753	0.00187934	-0.3830443	Hamamatsu
404	404	Barrel	-0.9285655	0.01021017	2.23107643	0.92372753	0.00187934	-0.3830443	Watchman
405	405	Barrel	0.54989219	0.01038878	2.6087467	-0.3773816	0.00035279	-0.9260398	Watchman
406	406	Barrel	0.27324662	-0.3994107	2.79745653	-0.3773816	0.00035279	-0.9260398	Hamamatsu
407	407	Barrel	0.59832632	-0.402122	2.65563198	-0.3773816	0.00035279	-0.9260398	Hamamatsu
408	408	Barrel	-0.593424	-0.8609753	2.65680163	0.38530308	0.00451611	-0.9227789	Hamamatsu
409	409	Barrel	-0.5836122	-0.4120414	2.66279671	0.38530308	0.00451611	-0.9227789	Hamamatsu
410	410	Barrel	-0.2689693	0.45754046	2.79763283	0.38530308	0.00451611	-0.9227789	Hamamatsu
411	411	Barrel	-0.5885181	0.45754046	2.65979917	0.38530308	0.00451611	-0.9227789	Hamamatsu
412	412	Barrel	-0.2689693	-0.4085338	2.79763283	0.38530308	0.00451611	-0.9227789	Hamamatsu
413	413	Barrel	0.59832632	0.45792182	2.65563198	-0.3773816	0.00035279	-0.9260398	Hamamatsu
414	414	Barrel	0.26276376	-0.8369909	2.79610581	-0.3773816	0.00035279	-0.9260398	Hamamatsu
415	415	Barrel	0.26800519	0.45792182	2.79678117	-0.3773816	0.00035279	-0.9260398	Hamamatsu
416	416	Barrel	-1.0413511	0.86344388	1.40794291	0.9222563	-0.0025943	0.3865435	Watchboy
417	417	Barrel	-1.0470203	-1.2853838	1.93673598	0.92372753	0.00187934	-0.3830443	Watchboy
418	418	Barrel	-0.9317383	-1.2922401	1.14479123	0.92372753	0.00187934	-0.3830443	Watchboy
419	419	Barrel	-1.0370936	-0.8573284	1.40051511	0.92372753	0.00187934	-0.3830443	Watchboy
420	420	Barrel	-0.9285655	-0.8596508	2.23107643	0.92372753	0.00187934	-0.3830443	Watchboy
421	421	Barrel	-0.9317383	0.0137382	1.14479123	0.92372753	0.00187934	-0.3830443	Watchboy
422	422	Barrel	-0.9317383	0.86344388	1.14479123	0.9222563	-0.0025943	0.3865435	Watchboy
423	423	Barrel	-1.0470203	0.86292047	1.93673598	0.92372753	0.00187934	-0.3830443	Watchboy
424	424	Barrel	-1.0470203	0.01021017	1.93673598	0.92372753	0.00187934	-0.3830443	Watchboy
425	425	Barrel	-1.0456086	0.00714074	1.41537072	0.92372753	0.00187934	-0.3830443	Watchboy
426	426	Barrel	-0.9285655	0.86292047	2.23107643	0.92372753	0.00187934	-0.3830443	Watchboy
427	427	Barrel	-1.0413511	-1.2922401	1.40794291	0.92372753	0.00187934	-0.3830443	Watchboy
428	428	Barrel	-0.2666204	0.00990167	2.72809739	0.38530308	0.00451611	-0.9227789	Watchboy
429	429	Barrel	-0.2693578	-1.2981988	2.72602087	0.38530308	0.00451611	-0.9227789	Watchboy
430	430	Barrel	0.26588299	0.86648085	2.72262024	-0.3773816	0.00035279	-0.9260398	Watchboy
431	431	Barrel	0.26391394	-1.2980369	2.72564427	-0.3773816	0.00035279	-0.9260398	Watchboy
432	432	Barrel	-0.5431105	-0.8493912	0.74262503	0.3862042	-0.0223683	0.92213632	Watchboy
433	433	Barrel	0.54678411	-1.2836873	0.74711241	-0.3765238	-0.0130824	0.92629019	Watchboy
434	434	Barrel	0.27419009	-1.2850842	0.63257959	-0.3765238	-0.0130824	0.92629019	Watchboy
435	435	Barrel	-0.2704704	0.01304715	0.64259671	0.3862042	-0.0223683	0.92213632	Watchboy
436	436	Barrel	-0.2704704	-1.2899266	0.64259671	0.3862042	-0.0223683	0.92213632	Watchboy
437	437	Barrel	0.27201711	0.86467099	0.62945507	-0.3765238	-0.0130824	0.92629019	Watchboy
438	438	Barrel	0.54678411	0.86467099	0.74711241	-0.3765238	-0.0130824	0.92629019	Watchboy
439	439	Barrel	0.26984413	-0.8565116	0.62633056	-0.3765238	-0.0130824	0.92629019	Watchboy
440	440	Barrel	0.27201711	0.0119607	0.62945507	-0.3765238	-0.0130824	0.92629019	Watchboy
441	441	Barrel	0.54678411	0.0119607	0.74711241	-0.3765238	-0.0130824	0.92629019	Watchboy
442	442	Barrel	-0.5451392	0.86832246	0.76131095	0.3862042	-0.0223683	0.92213632	Watchboy
443	443	Barrel	-0.2704704	0.86795036	0.64259671	0.3862042	-0.0223683	0.92213632	Watchboy
444	444	Barrel	-0.5454545	-1.2864868	2.60815843	0.38530308	0.00451611	-0.9227789	Watchboy
445	445	Barrel	0.54989219	-0.8586892	2.6087467	-0.3773816	0.00035279	-0.9260398	Watchboy
446	446	Barrel	-0.5454545	0.86146939	2.60815843	0.38530308	0.00451611	-0.9227789	Watchboy
447	447	Barrel	-0.263883	-0.8556038	2.73017391	0.38530308	0.00451611	-0.9227789	Watchboy
448	448	Barrel	1.04503815	0.86273994	1.41856158	-0.9249582	0.0034223	0.38005319	Watchboy
449	449	Barrel	1.03559466	-0.8556486	1.95661522	-0.92076	-0.0118607	-0.3879045	Watchboy
450	450	Barrel	0.92085067	0.02171669	2.24496886	-0.92076	-0.0118607	-0.3879045	Watchboy
451	451	Barrel	1.03985993	0.0141551	1.97255128	-0.92076	-0.0118607	-0.3879045	Watchboy
452	452	Barrel	0.92085067	-1.291156	2.24496886	-0.92076	-0.0118607	-0.3879045	Watchboy
453	453	Barrel	1.03772729	-1.291156	1.96458325	-0.92076	-0.0118607	-0.3879045	Watchboy
454	454	Barrel	1.04503815	-1.288761	1.41856158	-0.9249582	0.0034223	0.38005319	Watchboy
455	455	Barrel	1.03772729	0.86452805	1.96458325	-0.92076	-0.0118607	-0.3879045	Watchboy
456	456	Barrel	0.93083358	0.86273994	1.13184889	-0.9249582	0.0034223	0.38005319	Watchboy
457	457	Barrel	1.04503815	0.01002965	1.41856158	-0.9249582	0.0034223	0.38005319	Watchboy
458	458	Barrel	0.93083358	-0.8503654	1.13184889	-0.9249582	0.0034223	0.38005319	Watchboy
459	459	Barrel	0.92085067	0.86452805	2.24496886	-0.92076	-0.0118607	-0.3879045	Watchboy
460	460	Barrel	-0.2666204	0.86261197	2.72809739	0.38530308	0.00451611	-0.9227789	Watchboy
461	461	Barrel	0.54989219	0.86309907	2.6087467	-0.3773816	0.00035279	-0.9260398	Watchboy
462	462	Barrel	0.26489847	0.01038878	2.72413225	-0.3773816	0.00035279	-0.9260398	Watchboy
463	463	Barrel	-0.5454545	0.00990167	2.60815843	0.38530308	0.00451611	-0.9227789	Watchboy
